repetition,generation,diversity
0,0,0.9894586913712912
0,1,0.9608105084138971
0,2,0.9162533566058045
0,3,0.8956992928750441
0,4,0.8624930630146787
0,5,0.8369260204081626
0,6,0.8145318653777285
0,7,0.7781120211242409
0,8,0.6871520318653751
0,9,0.5654477712137479
0,10,0.49637240422484546
0,11,0.4024715807375603
0,12,0.2886983082706741
0,13,0.2531451396348015
0,14,0.1910186179735043
0,15,0.1764563193698544
0,16,0.1552472699606168
0,17,0.1620743823845333
0,18,0.15562947547439945
0,19,0.1371544933762985
0,20,0.15141313104189105
0,21,0.13546500179018886
0,22,0.12186694414607935
0,23,0.10577694235588939
0,24,0.11143864124597191
0,25,0.1076092015753666
0,26,0.09949919441460776
0,27,0.10612177765843141
0,28,0.10279918546365865
0,29,0.1029162191192259
0,30,0.08468447905477942
1,0,0.9895188865019731
1,1,0.9673003938417523
1,2,0.9387256086645221
1,3,0.9026009219477293
1,4,0.8626114393125682
1,5,0.8042879520229126
1,6,0.7580149033297541
1,7,0.7331634890798442
1,8,0.6948834138918712
1,9,0.6649048961689972
1,10,0.6034570802005013
1,11,0.5501132295023291
1,12,0.5012701396348014
1,13,0.478331319369855
1,14,0.4966836734693896
1,15,0.5208089419978484
1,16,0.48806435732187486
1,17,0.4799259308986742
1,18,0.43662101682778315
1,19,0.3968490422484793
1,20,0.3314628088077347
1,21,0.3393168188327968
1,22,0.3164554242749699
1,23,0.29921567311134994
1,24,0.28688283208020143
1,25,0.30368130146795563
1,26,0.2865162907268174
1,27,0.2904782044396707
1,28,0.29116586108127307
1,29,0.28263359291085044
1,30,0.25518640350877175
2,0,0.9896327873254537
2,1,0.965624552452565
2,2,0.937658879341209
2,3,0.9129547081990634
2,4,0.8717454350161116
2,5,0.8144025241675645
2,6,0.7569806211958461
2,7,0.7317508055853897
2,8,0.7083020050125309
2,9,0.7022777926960238
2,10,0.6404931972789119
2,11,0.5779341210168273
2,12,0.5223261278195476
2,13,0.5053667651271031
2,14,0.4839097744360901
2,15,0.4874885875402781
2,16,0.4755607769423568
2,17,0.4547265485141433
2,18,0.4718904403866815
2,19,0.44199583780880886
2,20,0.42249753848908256
2,21,0.4183340046544948
2,22,0.39950546007876814
2,23,0.3867754206945926
2,24,0.3613348102398858
2,25,0.3699225742928735
2,26,0.369303392409596
2,27,0.3755851682778397
2,28,0.38314715359828055
2,29,0.38521101861797336
2,30,0.39851436627282516
3,0,0.9895960884353703
3,1,0.9632042158968925
3,2,0.9293065252416818
3,3,0.9087515664160459
3,4,0.9008384801288918
3,5,0.8575572860723233
3,6,0.7479920784103117
3,7,0.706084407447192
3,8,0.6934584228428241
3,9,0.6951949069101315
3,10,0.6633185642678114
3,11,0.6121041442892955
3,12,0.6141113945578232
3,13,0.5939220819906919
3,14,0.5605104278553555
3,15,0.5649695667740775
3,16,0.5453144020766213
3,17,0.549658968850698
3,18,0.5362410490511994
3,19,0.4619320622986034
3,20,0.38375447547440117
3,21,0.3129419530970286
3,22,0.2857330827067672
3,23,0.2829504564983882
3,24,0.2876940118152518
3,25,0.2801163623344075
3,26,0.26230196025778724
3,27,0.27303034371643353
3,28,0.2507861170784098
3,29,0.2469824113856068
3,30,0.23965471715001754
4,0,0.9896233888292204
4,1,0.9737708109559698
4,2,0.949517767633374
4,3,0.9302582348729002
4,4,0.8783718224131738
4,5,0.8526447815968404
4,6,0.8120162012173333
4,7,0.7890438148943824
4,8,0.7941785266738259
4,9,0.7693814894378814
4,10,0.7550610902255659
4,11,0.7227488363766555
4,12,0.726781015037594
4,13,0.7210092194772632
4,14,0.7023769244539897
4,15,0.6841019960615786
