repetition,generation,diversity
0,0,0.9895213480128927
0,1,0.9692067221625557
0,2,0.952289988363769
0,3,0.91549196652345
0,4,0.8555291129609699
0,5,0.8259121016827776
0,6,0.789232903687791
0,7,0.7520479770855715
0,8,0.6992969029717122
0,9,0.6718522869674205
0,10,0.6471190252416767
0,11,0.6254063730755444
0,12,0.6123224355531683
0,13,0.6131350698174015
0,14,0.611460347296814
0,15,0.6012441818832787
0,16,0.5536504206945941
0,17,0.48325355800214614
0,18,0.39261087987826787
0,19,0.34814883190118057
0,20,0.2662356784819187
0,21,0.21240735767991406
0,22,0.15880605531686381
0,23,0.13439894378804218
0,24,0.12271717239527422
0,25,0.12202045291800928
0,26,0.11397936806301462
0,27,0.10643908879341217
0,28,0.12915178571428568
0,29,0.09354759667024681
0,30,0.11513717329036852
1,0,0.9895776271034767
1,1,0.9675319996419642
1,2,0.9308072636949533
1,3,0.8908418367346936
1,4,0.8536767141066991
1,5,0.8175488945578201
1,6,0.8214040682062337
1,7,0.8079356874328674
1,8,0.7985991765127078
1,9,0.788536072323668
1,10,0.7685254430719681
1,11,0.7532114885427882
1,12,0.7495078097028315
1,13,0.740358261725743
1,14,0.7259372762262806
1,15,0.6813114258861406
1,16,0.6788088524883659
1,17,0.6678041084855
1,18,0.6332019781596858
1,19,0.6330267633369114
1,20,0.6185008279627654
1,21,0.6372922261009661
1,22,0.6205997135696414
1,23,0.6004973370927362
1,24,0.5650239437880453
1,25,0.537772332617255
1,26,0.5304682465091298
1,27,0.52140317311135
1,28,0.5298649525599711
1,29,0.5258511233440741
1,30,0.512257541174366
2,0,0.9896170112781956
2,1,0.963235432330831
2,2,0.9203255907626178
2,3,0.8531345103831021
2,4,0.7938222789115635
2,5,0.7619670828857835
2,6,0.7109404090583608
2,7,0.6942453231292547
2,8,0.6937719298245588
2,9,0.6769348594701035
2,10,0.6502034103114906
2,11,0.6294761457214514
2,12,0.5935197368421097
2,13,0.5704503446115289
2,14,0.5574925035803818
2,15,0.5454392678123859
2,16,0.5305549588256381
2,17,0.5473485051915515
2,18,0.5333432912638736
2,19,0.5273638336913716
2,20,0.5087755102040806
2,21,0.4736863363766554
2,22,0.4549343224131778
2,23,0.41632921589688576
2,24,0.38596390529896146
2,25,0.36139836197636765
2,26,0.3590685418904396
2,27,0.36384834854994624
2,28,0.36715158431793704
2,29,0.373098706587897
2,30,0.3645605084138931
3,0,0.9895749418188358
3,1,0.9659082975295357
3,2,0.9392223863229539
3,3,0.9098266872538479
3,4,0.879736058897241
3,5,0.841448822950233
3,6,0.8256593492660225
3,7,0.7927236618331507
3,8,0.7779666800930889
3,9,0.7590465001790164
3,10,0.7287252730039393
3,11,0.7132861170784125
3,12,0.6776229636591452
3,13,0.6719861036519883
3,14,0.6695777389903329
3,15,0.6783312074829962
3,16,0.6684801288936612
3,17,0.6600620972073025
3,18,0.6258703678839967
3,19,0.6325956632653056
3,20,0.6270251521661299
3,21,0.6205315744718958
3,22,0.6166314223057654
3,23,0.6076852846401719
3,24,0.5974649794128184
3,25,0.5849034416398176
3,26,0.5867184702828472
3,27,0.5642597565341911
3,28,0.5420207885785894
3,29,0.5393096580737581
3,30,0.5347540726817028
4,0,0.9896101861797387
4,1,0.9627677452559948
4,2,0.9247191639813828
4,3,0.9058967731829541
4,4,0.8709453320802046
4,5,0.8450375939849641
4,6,0.8056261188686002
4,7,0.7870700187969911
4,8,0.7704517991407108
4,9,0.74177430182599
4,10,0.6872249820981008
4,11,0.6382155164697497
4,12,0.5929601906552071
4,13,0.5507453902613684
4,14,0.5593297977085582
4,15,0.5602552139276777
4,16,0.5666449606158258
4,17,0.5392665816326533
4,18,0.516595618510561
4,19,0.4839999552452548
4,20,0.4927978428213394
4,21,0.4861633995703555
4,22,0.38850082796276414
4,23,0.27205446652345133
4,24,0.18638549498746912
4,25,0.16818239795918502
4,26,0.19658263963480024
4,27,0.19790928213390677
4,28,0.21076955782312984
4,29,0.20376812567132138
4,30,0.22019837540279216
5,0,0.9896092910848605
5,1,0.9621631086645146
5,2,0.9265086824203392
5,3,0.8913466702470425
5,4,0.8498423514142507
5,5,0.8274345461868984
5,6,0.7944235588972406
5,7,0.7536660848549964
5,8,0.7218049588256324
5,9,0.700409953455063
