repetition,generation,diversity
0,0,0.9896209273183524
0,1,0.9674490914787586
0,2,0.9417301065163503
0,3,0.9075924185463858
0,4,0.8795833333333402
0,5,0.8615350877193023
0,6,0.8152831296992454
0,7,0.781930216165416
0,8,0.7896965068922309
0,9,0.7890158991228062
0,10,0.7652349624060188
0,11,0.7522395833333336
0,12,0.7455654761904764
0,13,0.7221361998746891
0,14,0.7022317512531341
0,15,0.6639207393483679
0,16,0.6329836309523825
0,17,0.6454194078947351
0,18,0.643649749373434
0,19,0.6211885181704265
0,20,0.5759155701754396
0,21,0.47844807330826905
0,22,0.41281563283208067
0,23,0.33161380012531333
0,24,0.34350407268170396
0,25,0.2850724467418547
0,26,0.3103540100250624
0,27,0.33057095864661634
0,28,0.3102792136591463
0,29,0.2829910714285715
0,30,0.2748437500000011
1,0,0.9896268013785046
1,1,0.9689203477444273
1,2,0.9276695645363987
1,3,0.8975932017544066
1,4,0.8606543703007501
1,5,0.8313075657894711
1,6,0.8070433897243158
1,7,0.7805145676691756
1,8,0.763374060150375
1,9,0.7328387374686708
1,10,0.7296174028822049
1,11,0.7139779135338327
1,12,0.7039179981202978
1,13,0.6906296992481196
1,14,0.6760213032581456
1,15,0.6658196271929823
1,16,0.6510741697994997
1,17,0.6438643483709245
1,18,0.6477937030075159
1,19,0.6057765507518809
1,20,0.5191478696741831
1,21,0.4247951911027516
1,22,0.2455521616541344
1,23,0.14169290413533842
1,24,0.12819548872180309
1,25,0.161479479949875
1,26,0.1710032894736842
1,27,0.14725681390977488
1,28,0.15332628446115232
1,29,0.12904017857142794
1,30,0.12297814849624035
2,0,0.9896064379699837
2,1,0.9731336152882792
2,2,0.9426245300752385
2,3,0.902487077067704
2,4,0.7989226973684219
2,5,0.6672478070175424
2,6,0.5737104479949856
2,7,0.5072548558897227
2,8,0.4359778352130335
2,9,0.3805090852130314
2,10,0.32857965225563734
2,11,0.316477521929823
2,12,0.28462562656641804
2,13,0.26111763784461123
2,14,0.24443883145363457
2,15,0.22744125939849685
2,16,0.22145206766917322
2,17,0.2301488095238107
2,18,0.27097705200501276
2,19,0.27801065162907207
2,20,0.3085765194235584
2,21,0.30288690476190466
2,22,0.30076832706766904
2,23,0.28630521616541327
2,24,0.26517152255639076
2,25,0.2642496867167913
2,26,0.25352952694235575
2,27,0.24167019110275578
2,28,0.2255827067669167
2,29,0.19915256892230573
2,30,0.18483905075187862
3,0,0.9895410401003095
3,1,0.9702631578948012
3,2,0.94278469611535
3,3,0.9209825344611824
3,4,0.8899749373433619
3,5,0.8444333489974913
3,6,0.8085350093984981
3,7,0.7592210996240562
3,8,0.6849851190476225
3,9,0.5918107769423545
3,10,0.5599577067669191
3,11,0.5541784147869676
3,12,0.517911184210527
3,13,0.44586857769423544
3,14,0.4287120144110285
3,15,0.39233591791980016
3,16,0.4319180764411017
3,17,0.40050007832080053
3,18,0.37660870927318346
3,19,0.3895069705513773
3,20,0.399403587092733
3,21,0.42727874373433483
3,22,0.48455239661654426
3,23,0.4954985119047613
3,24,0.4721506892230558
3,25,0.46426026002506654
3,26,0.525957471804512
3,27,0.532998903508773
3,28,0.5268667763157896
3,29,0.4736054981203014
3,30,0.3506105106516298
4,0,0.9895962562657238
4,1,0.9657522713033253
4,2,0.9345010964912757
4,3,0.9100556077694419
4,4,0.8688760964912261
4,5,0.8398257362155462
4,6,0.7841690162907327
4,7,0.690438596491234
4,8,0.6112174968671711
4,9,0.513331375313282
4,10,0.4177811716791957
4,11,0.38441768483709116
4,12,0.3300360275689222
4,13,0.3419736842105247
4,14,0.3374710213032587
4,15,0.3124389097744334
4,16,0.23678493107769377
4,17,0.22961701127819448
4,18,0.2370508302005019
4,19,0.2486583646616545
4,20,0.24816298558897254
4,21,0.24170426065162812
4,22,0.26299459586466173
4,23,0.28168663847117925
4,24,0.26874216791979993
4,25,0.24757792919799554
4,26,0.2367669172932328
4,27,0.22976229636591505
4,28,0.23398887844611468
4,29,0.2642457706766903
