repetition,generation,diversity
0,0,1.0
0,1,0.9763659147869673
0,2,0.9298934837092732
0,3,0.8915068922305766
0,4,0.8658677944862185
0,5,0.8156860902255647
0,6,0.7692105263157974
0,7,0.6827756892230579
0,8,0.5887781954887245
0,9,0.5255983709273194
0,10,0.5315789473684215
0,11,0.5583333333333318
0,12,0.41533834586466106
0,13,0.2756046365914791
0,14,0.2838377192982481
0,15,0.3100595238095281
0,16,0.26804511278195814
0,17,0.217120927318299
0,18,0.21456140350877548
0,19,0.22555137844612014
0,20,0.2436215538847156
0,21,0.13273809523809588
0,22,0.07709586466165645
0,23,0.10178258145363636
0,24,0.10681704260651566
0,25,0.07794486215538782
0,26,0.08987155388471038
0,27,0.09761904761904619
0,28,0.10273809523809414
0,29,0.12278195488721594
0,30,0.13448308270676554
1,0,1.0
1,1,0.9775469924812038
1,2,0.9115037593985018
1,3,0.7991134085213119
1,4,0.6435933583959923
1,5,0.6630357142857155
1,6,0.688881578947367
1,7,0.6790131578947411
1,8,0.6362781954887214
1,9,0.5481390977443616
1,10,0.37202380952380726
1,11,0.1871961152882231
1,12,0.08373746867168069
1,13,0.13801378446115128
1,14,0.2020739348370938
1,15,0.22941729323308285
1,16,0.22165726817042525
1,17,0.11558270676691629
1,18,0.1039880952380942
1,19,0.12257832080200368
1,20,0.10975877192982235
1,21,0.08107456140350863
1,22,0.11416040100250599
1,23,0.10802005012531096
1,24,0.09295112781954762
1,25,0.08472744360902133
1,26,0.0892073934837085
1,27,0.055225563909776204
1,28,0.05125939849624187
1,29,0.05311090225564056
1,30,0.06877819548872288
2,0,1.0
2,1,0.9782362155388485
2,2,0.9445394736842122
2,3,0.8856077694235693
2,4,0.7940789473684243
2,5,0.7567355889724333
2,6,0.6959680451127839
2,7,0.6354166666666704
2,8,0.5109649122807016
2,9,0.44609962406015324
2,10,0.49875000000000475
2,11,0.4750125313283177
2,12,0.3885275689222987
2,13,0.2732738095238024
2,14,0.33074874686716577
2,15,0.36774436090225554
2,16,0.41321428571428476
2,17,0.3459179197994976
2,18,0.22507832080200346
2,19,0.2118264411027559
2,20,0.20203320802004887
2,21,0.14503132832080173
2,22,0.13131265664160238
2,23,0.14545112781954753
2,24,0.16842731829573787
2,25,0.17242794486215615
2,26,0.18368421052631598
2,27,0.16198308270676717
