repetition,generation,diversity
0,0,1.0
0,1,0.979270050125314
0,2,0.9398684210526316
0,3,0.895899122807025
0,4,0.8770582706767006
0,5,0.8380357142857167
0,6,0.7497901002506278
0,7,0.6698715538847171
0,8,0.597431077694233
0,9,0.5311998746867161
0,10,0.5248778195488688
0,11,0.5521647869674181
0,12,0.5092042606516282
0,13,0.5217982456140375
0,14,0.5554605263157858
0,15,0.4486560150375895
0,16,0.27973370927318286
0,17,0.18873120300752214
0,18,0.16803258145363462
0,19,0.15115601503759307
0,20,0.18345238095238145
0,21,0.1906140350877201
0,22,0.19333020050125152
0,23,0.20328007518797012
0,24,0.17329573934837011
0,25,0.14600563909774256
0,26,0.1613941102756876
0,27,0.1792167919799498
0,28,0.14159461152882444
0,29,0.06957706766917567
0,30,0.05368107769423746
1,0,1.0
1,1,0.9726723057644118
1,2,0.9128007518797024
1,3,0.8436340852130398
1,4,0.7654166666666685
1,5,0.5422932330827036
1,6,0.37947368421052646
1,7,0.36419799498747063
1,8,0.3892825814536342
1,9,0.409689849624063
1,10,0.4196710526315799
1,11,0.41616854636591233
1,12,0.3937280701754379
1,13,0.38727756892230614
1,14,0.37097431077694104
1,15,0.34012531328320456
1,16,0.389003759398494
1,17,0.37887218045113114
1,18,0.30248433583959755
1,19,0.20948308270676574
1,20,0.15642543859649194
1,21,0.1539724310776934
1,22,0.1161403508771934
1,23,0.08186090225563952
1,24,0.07123746867167845
1,25,0.07856516290726716
1,26,0.07588032581453656
1,27,0.06395050125313395
1,28,0.08624060150375956
1,29,0.06731829573934815
1,30,0.07536654135338414
2,0,1.0
2,1,0.9795206766917302
2,2,0.9530388471177967
2,3,0.9206422305764465
2,4,0.8944830827067713
2,5,0.8722556390977546
2,6,0.8185150375939909
2,7,0.7267449874686714
2,8,0.5668264411027583
2,9,0.4991885964912298
2,10,0.5318859649122789
2,11,0.5255075187969906
2,12,0.5289598997493723
2,13,0.45908521303258
2,14,0.43039160401002163
2,15,0.28194862155388467
2,16,0.25727756892230513
2,17,0.31332393483709137
2,18,0.27124373433583787
2,19,0.10606203007519051
2,20,0.06536967418546627
2,21,0.05353696741854753
2,22,0.06364348370927454
2,23,0.0807080200501239
2,24,0.06907268170426221
2,25,0.0621177944862161
2,26,0.06013784461152944
2,27,0.05297932330827266
2,28,0.10096491228070228
2,29,0.09516917293233172
2,30,0.10349310776942376
3,0,1.0
3,1,0.9768953634085215
3,2,0.940936716791979
3,3,0.8677255639097783
3,4,0.8359805764411058
3,5,0.8257236842105324
3,6,0.7835056390977424
3,7,0.6796898496240608
3,8,0.6220332080200517
3,9,0.501989348370927
3,10,0.45618421052631547
3,11,0.4069611528822051
3,12,0.33746553884711833
3,13,0.3102318295739362
3,14,0.27874060150375873
3,15,0.18002192982456086
3,16,0.18133145363408218
3,17,0.10269736842105204
3,18,0.056049498746870055
3,19,0.04964912280701836
3,20,0.0629981203007535
3,21,0.06347431077694438
3,22,0.05179197994987602
3,23,0.06332706766917397
3,24,0.04919486215539083
3,25,0.06182017543859801
3,26,0.06709899749373613
3,27,0.05136591478696888
3,28,0.06312969924812208
3,29,0.05316102756892465
3,30,0.06850877192982531
4,0,1.0
4,1,0.9786654135338355
4,2,0.9339505012531346
4,3,0.8638439849624034
4,4,0.8104981203007493
4,5,0.7037625313283205
4,6,0.661522556390978
4,7,0.6852286967418574
4,8,0.6746021303258143
4,9,0.6579354636591467
4,10,0.6118546365914763
4,11,0.5245551378446114
4,12,0.3388847117794508
4,13,0.26809837092731886
4,14,0.19208646616541597
4,15,0.1111904761904751
4,16,0.10729949874686534
4,17,0.13443609022556294
4,18,0.12502506265663968
4,19,0.12557957393483662
4,20,0.09652882205513655
4,21,0.10686090225563756
4,22,0.1017763157894725
4,23,0.11870614035087536
4,24,0.10752506265664039
4,25,0.12567669172932103
4,26,0.14092418546365704
4,27,0.13578007518796906
4,28,0.1426033834586452
4,29,0.14749686716791685
4,30,0.15098057644109988
5,0,1.0
5,1,0.9738847117794509
5,2,0.9289003759398521
5,3,0.8733364661654175
5,4,0.7992105263157908
5,5,0.5955263157894785
5,6,0.44332393483709115
5,7,0.4314912280701739
5,8,0.4252255639097753
5,9,0.4363439849624065
5,10,0.4588251879699256
5,11,0.4362437343358399
5,12,0.38444548872180573
5,13,0.3783865914786968
5,14,0.3547493734335825
5,15,0.3561591478696713
5,16,0.30429197994987434
5,17,0.273270676691729
5,18,0.23368421052631697
5,19,0.16766290726816793
5,20,0.09716478696741679
5,21,0.0559523809523825
5,22,0.030657894736842595
5,23,0.0554448621553918
5,24,0.05680764411027747
5,25,0.04922619047619257
5,26,0.038599624060151244
5,27,0.033934837092732616
5,28,0.04942669172932585
5,29,0.07806390977444148
5,30,0.05553258145363681
6,0,1.0
6,1,0.9828258145363402
6,2,0.9358176691729361
6,3,0.8854981203007551
6,4,0.7951535087719367
6,5,0.6346679197995021
6,6,0.5675501253132814
6,7,0.5368546365914733
6,8,0.5752568922305755
6,9,0.5402913533834608
6,10,0.42989035087719396
6,11,0.38638157894737035
6,12,0.3390695488721804
6,13,0.33184210526315816
6,14,0.29434837092731975
6,15,0.24838345864661562
6,16,0.21255012531328313
6,17,0.1510839598997483
6,18,0.13457080200501323
6,19,0.11658521303258135
6,20,0.12680451127819417
6,21,0.12190476190475932
6,22,0.12507518796992223
6,23,0.14256265664160092
6,24,0.15474310776942074
6,25,0.17778822055137575
6,26,0.1687969924812005
6,27,0.17472117794486075
6,28,0.14077694235588656
6,29,0.1561497493734308
6,30,0.18995614035087738
7,0,1.0
7,1,0.9758646616541363
7,2,0.9423903508771956
7,3,0.889476817042613
7,4,0.8378226817042602
7,5,0.6847713032581481
7,6,0.44344611528822175
7,7,0.3900093984962391
7,8,0.28953947368421046
7,9,0.23424185463659222
7,10,0.2626378446115285
7,11,0.2584429824561407
7,12,0.25915726817042517
7,13,0.26288533834586403
7,14,0.25094924812029973
7,15,0.2596428571428581
7,16,0.22355889724310896
7,17,0.1730325814536324
7,18,0.15013471177944648
7,19,0.15620300751879596
7,20,0.1454229323308282
7,21,0.13323308270676718
7,22,0.1375125313283194
7,23,0.11998433583959799
7,24,0.11201441102756762
7,25,0.09456140350877092
7,26,0.0787343358395993
7,27,0.0955827067669165
7,28,0.09724310776942134
7,29,0.08395050125313205
7,30,0.10280701754385838
8,0,1.0
8,1,0.976604010025063
8,2,0.9247086466165452
8,3,0.8815695488721865
8,4,0.7921522556391031
8,5,0.5520426065162957
8,6,0.5207080200501292
8,7,0.47418233082707
8,8,0.3559617794486158
8,9,0.22125939849623646
8,10,0.18347431077694246
8,11,0.1918076441102746
8,12,0.1688126566416064
8,13,0.15053258145363366
8,14,0.13458020050125338
8,15,0.15341791979949826
8,16,0.15415413533834377
8,17,0.17358709273182796
8,18,0.18681077694235582
8,19,0.19056077694235327
8,20,0.20258771929824398
8,21,0.19873120300751895
8,22,0.22499373433583764
8,23,0.1918890977443595
8,24,0.15892857142857145
8,25,0.13514097744360876
8,26,0.10412593984962158
8,27,0.14189849624060147
8,28,0.1437750626566416
8,29,0.12871867167919696
8,30,0.11560150375939669
9,0,1.0
9,1,0.977897869674187
9,2,0.9497932330827106
9,3,0.8985338345864717
9,4,0.839896616541358
9,5,0.7862938596491268
9,6,0.6498464912280756
9,7,0.48271616541353424
9,8,0.4615726817042596
9,9,0.4357894736842097
9,10,0.4599373433583958
9,11,0.49097744360902124
9,12,0.4883395989974919
9,13,0.4481704260651628
9,14,0.3573527568922282
9,15,0.3210150375939869
9,16,0.3385401002506298
9,17,0.32374686716792317
9,18,0.302001879699247
9,19,0.2621773182957401
9,20,0.18838032581453595
9,21,0.174244987468673
9,22,0.11148809523809124
9,23,0.07942669172932297
9,24,0.09484022556390874
9,25,0.09364974937343434
9,26,0.08979010025062596
9,27,0.11711466165413702
9,28,0.1148715538847116
9,29,0.11889097744361156
9,30,0.11855263157894937
