repetition,generation,diversity
3,10,0.7811430361618339
3,11,0.7650742928750403
3,12,0.7519092373791639
3,13,0.7405453365556782
3,14,0.7146815699964211
3,15,0.7061701127819564
3,16,0.6656185105621222
3,17,0.6346466612960965
3,18,0.5925499015395633
3,19,0.548123881131403
3,20,0.5185060866451846
3,21,0.5163162370211214
3,22,0.49332281596849126
3,23,0.49108776405298793
3,24,0.4793096580737541
3,25,0.4223379878267099
3,26,0.38450076083064827
3,27,0.3410627013963471
3,28,0.22443116720372408
3,29,0.162749507697815
3,30,0.14538041532402374
4,0,0.9895940744718977
4,1,0.9677846401718615
4,2,0.9417982456140351
4,3,0.9252052005012528
4,4,0.8780529448621534
4,5,0.8275709362692472
4,6,0.8242720640887915
4,7,0.7769801736484088
4,8,0.7444378804153262
4,9,0.7035973863229493
4,10,0.684433404940923
4,11,0.6274194414607964
4,12,0.5742845954171127
4,13,0.49053213390619416
4,14,0.4231856426781254
4,15,0.4082389008234897
4,16,0.41138739706409083
4,17,0.4069445936269268
4,18,0.3974418188327966
4,19,0.38075143215181056
4,20,0.38128625134264116
4,21,0.37004945399212336
4,22,0.35237670068027266
4,23,0.3162240422484761
4,24,0.2516174364482634
4,25,0.2056444683136409
4,26,0.18300214822771177
4,27,0.1680511546723949
4,28,0.15533118510562105
4,29,0.15317512531328376
4,30,0.14448890082348748
5,0,0.989548200859294
5,1,0.9640145005370584
5,2,0.9319922574292924
5,3,0.8818300214822831
5,4,0.8424004206945906
5,5,0.827367973505188
5,6,0.8315482903687805
5,7,0.812138381668455
5,8,0.7733006623702108
5,9,0.7059338077336212
5,10,0.6335994002864299
5,11,0.595401673827424
5,12,0.5986139455782327
5,13,0.5790062209094148
5,14,0.5564223057644108
5,15,0.5032999910490513
5,16,0.45340717866093694
5,17,0.42435687432868063
5,18,0.39457393483709347
5,19,0.3677011725742922
5,20,0.32922037235946877
5,21,0.27924789652703097
5,22,0.2684698353025412
5,23,0.2695761725742921
5,24,0.2651013694951672
5,25,0.24515865556748828
5,26,0.2422668277837445
5,27,0.2343438954529173
5,28,0.24975966702470492
5,29,0.2392537146437519
5,30,0.24688395094880106
6,0,0.9896770945220267
6,1,0.9662218045112797
6,2,0.943146258503406
6,3,0.9182590404582913
6,4,0.8839988363766613
6,5,0.8541921768707481
6,6,0.8285765753669875
6,7,0.7336701127819496
6,8,0.6909693877551031
6,9,0.6277414518438944
6,10,0.6171518080916584
6,11,0.6279390440386721
6,12,0.6115232277121365
6,13,0.5836795112781947
6,14,0.5841615198711099
6,15,0.5786293859649104
6,16,0.5604227085571036
6,17,0.5454670157536691
6,18,0.5492552810597932
6,19,0.5145748299319719
6,20,0.4124198890082371
6,21,0.2950751879699237
6,22,0.25522780164697495
6,23,0.2219701038310068
6,24,0.21986484067311118
6,25,0.1941322055137838
6,26,0.20068407626208376
6,27,0.18804041353383497
6,28,0.17779650017901918
6,29,0.17023563372717518
6,30,0.14395318653777353
7,0,0.9895130683852563
7,1,0.9689612423917018
7,2,0.9323003938417537
7,3,0.9176915503043349
7,4,0.8942009040458238
7,5,0.8715946115288223
7,6,0.8375362513426453
7,7,0.7845401450053705
7,8,0.7556225384890796
7,9,0.7383825635517347
7,10,0.7074633011099188
7,11,0.6175798872180451
7,12,0.5917993644826343
7,13,0.5677474937343359
7,14,0.5508380325814515
7,15,0.5661056659505913
7,16,0.5442595327604712
7,17,0.5188117615467247
7,18,0.5187473147153634
7,19,0.5077401092015743
7,20,0.48184121016827786
7,21,0.45815252416756147
7,22,0.3495123970640871
7,23,0.3090004027926984
7,24,0.2874733709273178
7,25,0.23727354099534448
7,26,0.1999718045112783
7,27,0.19820108306480405
7,28,0.17889657178660864
7,29,0.1595343268886502
7,30,0.13969611528822057
8,0,0.9895678929466558
8,1,0.9694005102040875
8,2,0.9491879251700722
8,3,0.9176620121732894
8,4,0.8978135069817392
8,5,0.8825581811672067
8,6,0.8612003222341614
8,7,0.8056972789115673
8,8,0.7602871016827799
8,9,0.7484246330111001
8,10,0.7452027389903358
8,11,0.7203578141783054
8,12,0.6989990601503772
8,13,0.6739446831364153
8,14,0.6601924453992171
8,15,0.6354755191550288
8,16,0.6096963390619418
8,17,0.6106567758682419
8,18,0.6033774167561766
8,19,0.5911602667382791
8,20,0.6023330648048707
8,21,0.5918629162191211
8,22,0.5776109917651256
8,23,0.5601510472610085
8,24,0.5488782223415676
8,25,0.5368617973505199
8,26,0.5172661564625846
8,27,0.5079240511994272
8,28,0.484775331185106
8,29,0.45111058897243217
8,30,0.380817221625492
9,0,0.9896527031865447
9,1,0.9657180898675278
9,2,0.9333134174722517
9,3,0.9110474847833847
9,4,0.8636036519871104
9,5,0.7776532849982075
9,6,0.7155813641246013
9,7,0.6847379609738616
9,8,0.678338927676335
9,9,0.6771612065878986
9,10,0.6598818474758332
9,11,0.6393564267812366
9,12,0.5725572860723227
9,13,0.4703067937701395
9,14,0.45758950948800475
9,15,0.47980621195846784
9,16,0.45896325635517293
9,17,0.44697055137844505
9,18,0.43992235051915457
9,19,0.40809680451127495
9,20,0.3702465986394553
9,21,0.3599445041174366
9,22,0.3392698263515928
9,23,0.3239005997135714
9,24,0.3405258682420344
9,25,0.34027546544933673
9,26,0.3332420336555655
9,27,0.3104182330827062
9,28,0.27936582527748055
9,29,0.27841165413533947
9,30,0.27766290726817067
