repetition,generation,diversity
0,0,1.0
0,1,0.9781296992481197
0,2,0.9488189223057648
0,3,0.9260369674185502
0,4,0.9034555137844649
0,5,0.8694548872180555
0,6,0.8358897243107867
0,7,0.7442167919799482
0,8,0.6740225563909794
0,9,0.5121334586466154
0,10,0.4951535087719313
0,11,0.4951033834586476
0,12,0.36739661654135314
0,13,0.2850344611528842
0,14,0.27213659147869707
0,15,0.27321428571428286
0,16,0.2756140350877183
0,17,0.27411340852130384
0,18,0.24640664160400916
0,19,0.2260745614035081
0,20,0.17355263157894527
0,21,0.17374060150375664
0,22,0.15998433583959631
0,23,0.16156015037593618
0,24,0.15908208020049758
0,25,0.1422211779448578
0,26,0.1586842105263138
0,27,0.1542637844611457
0,28,0.1576253132832022
0,29,0.1647368421052582
0,30,0.175526315789471
1,0,1.0
1,1,0.9776033834586468
1,2,0.9271741854636578
1,3,0.8756140350877232
1,4,0.8121898496240674
1,5,0.7859649122807084
1,6,0.6113815789473749
1,7,0.3824216791980007
1,8,0.28854949874686797
1,9,0.21323934837092617
1,10,0.22456766917293244
1,11,0.24391290726817205
1,12,0.24485588972431482
1,13,0.1441102756892252
1,14,0.11244987468671286
1,15,0.0709931077694226
1,16,0.06681077694235667
1,17,0.05196115288220691
1,18,0.06593984962405897
1,19,0.059464285714286386
1,20,0.06796365914786928
1,21,0.0613909774436093
1,22,0.07619047619047711
1,23,0.08799498746867161
1,24,0.10105263157894634
1,25,0.08341165413533695
1,26,0.06592731829574028
1,27,0.07801691729323364
1,28,0.07599624060150435
1,29,0.08317355889724216
1,30,0.07598370927318382
2,0,1.0
2,1,0.9757550125313287
2,2,0.93669172932331
2,3,0.8805043859649135
2,4,0.8535056390977509
2,5,0.7747744360902326
2,6,0.6846334586466211
2,7,0.5765476190476241
2,8,0.46140977443608916
2,9,0.4175407268170436
2,10,0.39020989974937453
2,11,0.3972243107769457
2,12,0.4095332080200513
2,13,0.38655701754386035
2,14,0.3488847117794482
2,15,0.3338659147869684
2,16,0.3656610275689249
2,17,0.3452694235588984
2,18,0.30275689223057856
2,19,0.27618734335839606
2,20,0.23697994987468565
2,21,0.17966791979949737
2,22,0.13432017543859506
2,23,0.1421146616541335
2,24,0.14949561403508602
2,25,0.1653038847117777
2,26,0.17317669172932168
2,27,0.17076127819549078
2,28,0.1570958646616529
2,29,0.15538533834586288
2,30,0.15480576441102575
3,0,1.0
3,1,0.9819830827067674
3,2,0.9522869674185458
3,3,0.8917669172932359
3,4,0.7511058897243126
3,5,0.6669924812030025
3,6,0.5135213032581457
3,7,0.4401629072681712
3,8,0.47602756892230186
3,9,0.5117167919799451
3,10,0.5377161654135352
3,11,0.5465006265664168
3,12,0.5209147869674189
3,13,0.5208615288220563
3,14,0.43017857142857174
3,15,0.3608427318295732
3,16,0.18285714285714097
3,17,0.07102756892231012
3,18,0.04702694235589203
3,19,0.04875939849624137
3,20,0.03573308270676766
3,21,0.062064536340853765
3,22,0.053339598997495366
3,23,0.04948621553884842
3,24,0.03119674185463761
3,25,0.050206766917294386
3,26,0.05491228070175557
3,27,0.07391290726817056
3,28,0.07378132832080136
3,29,0.06857769423559028
3,30,0.04395050125313377
4,0,1.0
4,1,0.9777600250626578
4,2,0.9225689223057705
4,3,0.8213533834586534
4,4,0.7431610275689284
4,5,0.5946804511278204
4,6,0.5698934837092717
4,7,0.4758740601503752
4,8,0.3639254385964925
4,9,0.32299185463659635
4,10,0.3306203007518838
4,11,0.27491228070175383
4,12,0.24156328320802087
4,13,0.1832518796992457
4,14,0.12363408521303204
4,15,0.10808897243107879
4,16,0.1357769423558902
4,17,0.11854323308270628
4,18,0.15102756892230557
4,19,0.11951754385965012
4,20,0.0908552631578957
4,21,0.07250000000000097
4,22,0.08171992481203222
4,23,0.08040726817042951
4,24,0.052841478696744236
4,25,0.046666666666668674
4,26,0.03864974937343462
4,27,0.06215538847118005
4,28,0.0726159147869702
4,29,0.06856203007519021
4,30,0.07309837092731997
5,0,1.0
5,1,0.9750407268170428
5,2,0.9317136591478721
5,3,0.891052631578953
5,4,0.8168859649122934
5,5,0.6349718045112789
5,6,0.560034461152886
5,7,0.48351503759397985
5,8,0.39742167919799287
5,9,0.24871240601503675
5,10,0.17155075187969512
5,11,0.18226503759398333
5,12,0.18866228070175167
5,13,0.18652882205513543
5,14,0.18723057644110097
5,15,0.1851879699248072
5,16,0.14072681704260667
5,17,0.11083333333333317
5,18,0.0912218045112783
5,19,0.08377506265664098
5,20,0.08141290726816952
5,21,0.10682330827067553
5,22,0.10524122807017414
5,23,0.11944235588972237
5,24,0.12567042606516202
5,25,0.10968045112781824
5,26,0.10780701754385903
5,27,0.11062656641603877
5,28,0.10845238095237875
5,29,0.11389724310776635
5,30,0.10371240601503623
6,0,1.0
6,1,0.9795363408521314
6,2,0.9580200501253142
6,3,0.9204323308270737
6,4,0.8705795739348503
6,5,0.8319674185463752
6,6,0.8088345864661722
6,7,0.7568703007518838
6,8,0.6670833333333406
6,9,0.5626754385964976
6,10,0.4556829573934857
6,11,0.392246240601503
6,12,0.3646177944862148
6,13,0.237048872180452
6,14,0.19886591478696575
6,15,0.17592105263158017
6,16,0.12192042606516494
6,17,0.04890977443608972
6,18,0.053612155388470965
6,19,0.06848370927318564
6,20,0.046246867167919856
6,21,0.06064849624060223
6,22,0.05844924812030015
6,23,0.0340288220551384
6,24,0.052167919799498884
6,25,0.04049185463659224
6,26,0.03870300751879668
